"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2631","Проверка на наличие логотипов платежных систем","","Mon May 19 23:04:25 MSK 2025","passed","Mon May 19 23:04:28 MSK 2025","","MtsPageTest","MtsPageTest","testPaymentLogosExist"
"","16430","Проверка отображения иконок платежных систем","","Thu May 15 22:14:04 MSK 2025","passed","Thu May 15 22:14:20 MSK 2025","","Тесты для страницы MTS","MtsPageTest","testPaymentSystemIconsDisplayed"
"","5178","Тестирование работы ссылки","","Mon May 19 23:04:34 MSK 2025","passed","Mon May 19 23:04:39 MSK 2025","","MtsPageTest","MtsPageTest","testPaymentSecurityServiceLink"
"","2835","Проверка плейсхолдеров для Задолженности","","Mon May 19 23:04:23 MSK 2025","passed","Mon May 19 23:04:25 MSK 2025","","MtsPageTest","MtsPageTest","verifyEmptyFieldsPlaceholdersForDebt"
"","2906","Проверка плейсхолдеров для Услуг связи","","Mon May 19 23:04:01 MSK 2025","passed","Mon May 19 23:04:04 MSK 2025","","MtsPageTest","MtsPageTest","verifyEmptyFieldsPlaceholdersForMobileServices"
"","18446","Тестирование кнопки 'Продолжить'","","Mon May 19 23:04:04 MSK 2025","passed","Mon May 19 23:04:23 MSK 2025","","MtsPageTest","MtsPageTest","testContinueButtonFunctionality"
"","2784","Проверка плейсхолдеров для Рассрочки","","Mon May 19 23:04:31 MSK 2025","passed","Mon May 19 23:04:34 MSK 2025","","MtsPageTest","MtsPageTest","verifyEmptyFieldsPlaceholdersForInstallment"
"","19817","Тестирование кнопки 'Продолжить'","","Mon May 19 23:03:38 MSK 2025","passed","Mon May 19 23:03:58 MSK 2025","","MtsPageTest","MtsPageTest","testContinueButtonFunctionality2"
"","2984","Проверка плейсхолдеров для Домашнего интернета","","Mon May 19 23:03:58 MSK 2025","passed","Mon May 19 23:04:01 MSK 2025","","MtsPageTest","MtsPageTest","verifyEmptyFieldsPlaceholdersForHomeInternet"
"","2612","Проверка названия блока <Онлайн пополнение без комисии>","","Mon May 19 23:04:28 MSK 2025","passed","Mon May 19 23:04:31 MSK 2025","","MtsPageTest","MtsPageTest","testBlockTitle"
